epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1469.77,1.31084,1.34837,1.6347,0.62863,0.55756,0.60413,0.28586,2.15115,1.53161,2.44132,0.000495291,0.000495291,0.000495291
68,1492.6,1.31935,1.34206,1.65351,0.59689,0.62381,0.61967,0.29691,2.00089,1.5705,2.41097,0.000481144,0.000481144,0.000481144
69,1513.54,1.29586,1.37338,1.62766,0.63783,0.55526,0.60655,0.27071,2.10751,1.54765,2.48211,0.000466997,0.000466997,0.000466997
70,1535.4,1.29704,1.33693,1.62442,0.6283,0.57664,0.6035,0.27989,2.10659,1.58786,2.49362,0.00045285,0.00045285,0.00045285
71,1556.34,1.3053,1.30118,1.64042,0.57001,0.60025,0.60873,0.27936,2.1324,1.50894,2.50025,0.000438703,0.000438703,0.000438703
72,1577.92,1.25096,1.30856,1.60477,0.65553,0.60348,0.64428,0.31756,2.0451,1.48811,2.45228,0.000424556,0.000424556,0.000424556
73,1599.67,1.27326,1.28858,1.60598,0.63197,0.5483,0.62394,0.29765,2.02986,1.56207,2.44803,0.000410409,0.000410409,0.000410409
74,1620.43,1.28854,1.27274,1.62453,0.63158,0.57811,0.61004,0.30106,2.02933,1.57629,2.47662,0.000396262,0.000396262,0.000396262
75,1642.17,1.30322,1.30195,1.6333,0.62727,0.58187,0.60039,0.28459,2.11417,1.52455,2.47964,0.000382115,0.000382115,0.000382115
76,1664.13,1.24817,1.24771,1.59716,0.55009,0.56847,0.57336,0.26667,2.26127,1.69844,2.62481,0.000367967,0.000367967,0.000367967
77,1685.18,1.26207,1.23974,1.5914,0.63671,0.54477,0.60186,0.29545,2.20674,1.62019,2.64382,0.00035382,0.00035382,0.00035382
78,1707.73,1.26269,1.25328,1.59655,0.5837,0.59576,0.5986,0.28391,2.15768,1.55733,2.58196,0.000339673,0.000339673,0.000339673
79,1729.93,1.27702,1.23028,1.59954,0.64184,0.61071,0.61572,0.29126,2.23148,1.57986,2.6037,0.000325526,0.000325526,0.000325526
80,1751.49,1.22164,1.24185,1.57309,0.5969,0.60732,0.63453,0.30573,2.08195,1.52986,2.48594,0.000311379,0.000311379,0.000311379
81,1772.85,1.23935,1.2187,1.5826,0.66573,0.55384,0.63024,0.30047,2.25018,1.58173,2.67858,0.000297232,0.000297232,0.000297232
82,1794.45,1.22585,1.19965,1.56869,0.63053,0.5882,0.62936,0.2911,2.10531,1.54647,2.52005,0.000283085,0.000283085,0.000283085
83,1815.36,1.23033,1.22394,1.57402,0.60329,0.64294,0.62051,0.30598,2.11947,1.55835,2.54637,0.000268938,0.000268938,0.000268938
84,1837.33,1.1979,1.19321,1.55608,0.6575,0.56059,0.61477,0.28444,2.15943,1.60008,2.60261,0.000254791,0.000254791,0.000254791
85,1859.24,1.2499,1.20856,1.58708,0.58842,0.57364,0.6065,0.29002,2.22375,1.54731,2.72086,0.000240644,0.000240644,0.000240644
86,1880.51,1.20614,1.21044,1.55493,0.5929,0.58583,0.5954,0.2765,2.25146,1.54111,2.75277,0.000226497,0.000226497,0.000226497
87,1902.83,1.20308,1.18522,1.55247,0.58651,0.6431,0.5988,0.28986,2.25954,1.53098,2.77043,0.000212349,0.000212349,0.000212349
88,1925.02,1.2075,1.18555,1.55863,0.62269,0.62099,0.60735,0.28874,2.24005,1.54104,2.78612,0.000198202,0.000198202,0.000198202
89,1947.33,1.18277,1.16442,1.53104,0.66879,0.56052,0.61762,0.29634,2.24062,1.56137,2.76717,0.000184055,0.000184055,0.000184055
90,1969.1,1.18225,1.1138,1.52717,0.64444,0.59239,0.62362,0.28707,2.25798,1.54146,2.72856,0.000169908,0.000169908,0.000169908
91,1992.13,1.31274,1.11742,1.72298,0.6297,0.60365,0.61468,0.29427,2.17278,1.56552,2.65569,0.000155761,0.000155761,0.000155761
92,2012.55,1.26192,1.05494,1.68092,0.58771,0.60889,0.6102,0.2911,2.16964,1.54651,2.66142,0.000141614,0.000141614,0.000141614
93,2033.41,1.23392,0.99983,1.66215,0.629,0.61268,0.60591,0.29133,2.26606,1.53712,2.77309,0.000127467,0.000127467,0.000127467
94,2054.69,1.21644,0.95274,1.63534,0.57517,0.6467,0.62134,0.3006,2.26056,1.53118,2.71743,0.00011332,0.00011332,0.00011332
95,2075.27,1.18353,0.91614,1.60877,0.63416,0.63424,0.62922,0.30326,2.2495,1.53128,2.71718,9.91726e-05,9.91726e-05,9.91726e-05
96,2096.81,1.19204,0.94301,1.61819,0.62579,0.63346,0.61787,0.2906,2.16167,1.52467,2.60214,8.50255e-05,8.50255e-05,8.50255e-05
97,2117.7,1.1774,0.91041,1.59441,0.67464,0.58817,0.62153,0.30863,2.16745,1.52446,2.61203,7.08784e-05,7.08784e-05,7.08784e-05
98,2138.92,1.17487,0.92502,1.59915,0.60835,0.62669,0.62202,0.31003,2.22629,1.53855,2.70805,5.67313e-05,5.67313e-05,5.67313e-05
99,2160.1,1.16083,0.88439,1.58861,0.67269,0.58138,0.61628,0.30085,2.24179,1.53492,2.71866,4.25842e-05,4.25842e-05,4.25842e-05
100,2181.6,1.16711,0.90493,1.5922,0.67311,0.57942,0.61763,0.29945,2.2393,1.50236,2.7162,2.84371e-05,2.84371e-05,2.84371e-05
